"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2000","2000",2296,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2001","2001",2117,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2002","2002",2054,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2003","2003",1953,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2004","2004",1921,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2005","2005",1894,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2006","2006",1763,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2007","2007",1733,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2008","2008",1702,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2009","2009",1767,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2010","2010",1743,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2011","2011",1651,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2012","2012",1750,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2013","2013",1621,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2014","2014",1583,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2015","2015",1584,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2016","2016",1704,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2017","2017",1691,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","FIN","Finland","2018","2018",1636,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2000","2000",89,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2001","2001",84,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2002","2002",84,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2003","2003",76,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2004","2004",86,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2005","2005",82,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2006","2006",79,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2007","2007",81,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2008","2008",78,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2009","2009",76,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2010","2010",73,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2011","2011",72,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2012","2012",72,,
